t[fs] λDe[Å] λDt[Å] Γe Γp ΓO
-30.0 NaN NaN NaN NaN NaN
-25.0 NaN NaN NaN NaN NaN
-20.0 NaN NaN NaN NaN NaN
-14.999999999999998 NaN NaN NaN NaN NaN
-10.0 81.85821508477811 1.8557050651003473 0.005939115615881161 0.4867190839341642 14.585061719412193
-4.9999999999999964 13.24292223911134 0.5258095380042974 0.042672077103746625 2.0856203830994513 33.80261957360747
3.552713678800501e-15 8.153534547709867 0.3480526365614387 0.04373946924868292 1.9863273554828786 30.354798185957108
4.9999999999999964 3.154814823315693 0.21497330334607795 0.13121892102461488 2.941967987794233 36.26582855287084
10.0 1.8019343835106814 0.1861529634361104 0.2575650594961418 3.227534066769906 31.77692660650537
15.0 1.2569580518360242 0.1797723002509322 0.4140294346905493 3.206154736984592 28.22529767816395
20.000000000000004 1.0605989761645624 0.18289008191486936 0.5224078356315048 2.970975015296311 25.48177657644032
25.0 0.986748104647047 0.1897367273591416 0.5790351049379371 2.7102076191159012 23.401249066344267
30.000000000000004 0.9425345737817393 0.19607946662709871 0.6189491648766621 2.5639150026586393 21.75372972166658
34.99999999999999 0.9096228312546325 0.20304868192880668 0.6520133039406041 2.4888089473421298 20.104980485441562
39.99999999999999 0.8841424676136782 0.2065512215368581 0.6791231602977029 2.430946384103161 19.371043206982176
45.0 0.8618177308348675 0.21079625230801705 0.705076733209411 2.3678836814412634 18.511500267951916
49.99999999999999 0.8444785269409738 0.21487805284700132 0.726802323520695 2.3120560059225594 17.777864723015163
55.0 0.8354620437868611 0.22168478193169278 0.7368976966011391 2.2650319543128585 16.58654855403676
60.00000000000001 0.8263174759290727 0.2271415989160673 0.7486350148492548 2.2355739222119557 15.640283897546922
65.0 0.8204536937519018 0.23045403216139967 0.7550226787764021 2.1918009149330024 15.013883615502117
70.0 0.8167514902520213 0.2316845293716347 0.7596534569622078 2.128621236645205 14.302138363115164
75.0 0.8103531838106652 0.2369954898011355 0.7689467277292151 2.1171422905308472 13.602284534762319
80.0 0.8058488811929281 0.24502898516330854 0.7750038648271437 2.082548571665056 12.720041776453364
85.00000000000001 0.799119108656529 0.2491213763098297 0.7859566125785262 2.06038143686431 12.157689324340955
90.0 0.797385637113809 0.2547029679895847 0.7881638283156174 2.0316247235553613 11.546310623549134
95.00000000000001 0.7929717170018324 0.25905217715732687 0.7951107884824667 2.0100148331803664 11.051872409630924
99.99999999999999 0.790144752592399 0.2619508882057362 0.7988775094447098 1.976234657321686 10.730803422572777
105.0 0.7862141734366147 0.2645602147837644 0.8060521540373123 1.9548261306092327 10.460806253032034
109.99999999999999 0.7860907915043454 0.268067699034229 0.8051973970117695 1.9213690896235724 10.1637571375771
115.0 0.7811974237919168 0.2712051286350507 0.814278232256796 1.8833992277918994 9.80605452376628
120.0 0.7794497724944478 0.27402396104624727 0.8168543858765489 1.8647919848725873 9.49278612512654
125.0 0.7782679444451743 0.27709371988773346 0.818617293603431 1.8398785374916504 9.206916222776487
130.0 0.774657353885874 0.27982039983365686 0.8257825636297466 1.8061253802017831 8.947573353689124
135.0 0.7717095733864285 0.2828872101879498 0.8312928851325484 1.790980675901256 8.706623111471167
140.0 0.7721746508572609 0.2868908308858932 0.8300493797670546 1.7626793398923297 8.406014932791544
