# # q/A,25.0fs,50.0fs,60.0fs,70.0fs,80.0fs,90.0fs,100.0
# 
0.48222098,0.00381480,0.00351687,0.00333960,0.00341717,0.00409228,0.00425048,0.00428186
0.48963977,0.00375707,0.00351360,0.00334075,0.00342033,0.00408271,0.00425365,0.00429387
0.49705855,0.00370129,0.00347608,0.00334444,0.00342157,0.00408702,0.00426168,0.00428113
0.50447734,0.00366638,0.00347050,0.00334478,0.00342427,0.00411974,0.00428147,0.00429694
0.51189612,0.00356403,0.00349261,0.00337522,0.00344947,0.00411303,0.00430043,0.00431466
0.51931491,0.00374809,0.00350463,0.00343277,0.00350913,0.00415703,0.00431677,0.00435527
0.52673369,0.00371034,0.00349030,0.00341370,0.00350378,0.00414453,0.00432653,0.00434689
0.53415247,0.00373501,0.00349023,0.00342718,0.00352362,0.00415421,0.00433136,0.00435451
0.54157126,0.00359388,0.00350588,0.00345575,0.00354206,0.00419169,0.00434476,0.00438473
0.54899004,0.00370195,0.00351615,0.00346663,0.00354575,0.00420667,0.00435834,0.00440725
0.55640883,0.00364948,0.00349765,0.00346601,0.00355389,0.00416736,0.00435183,0.00439460
0.56382761,0.00359616,0.00348658,0.00347913,0.00357484,0.00419279,0.00437685,0.00440119
0.57124640,0.00355866,0.00349739,0.00351023,0.00359938,0.00419125,0.00436240,0.00440361
0.57866518,0.00362317,0.00347474,0.00350979,0.00360479,0.00421427,0.00436553,0.00440017
0.58608397,0.00361240,0.00350752,0.00353787,0.00363300,0.00421700,0.00437512,0.00441377
0.59350275,0.00350584,0.00350145,0.00356295,0.00364768,0.00422588,0.00437421,0.00443056
0.60092153,0.00357042,0.00351407,0.00357332,0.00367058,0.00423542,0.00438206,0.00443783
0.60834032,0.00363953,0.00351278,0.00358381,0.00367925,0.00421600,0.00440547,0.00444200
0.61575910,0.00362238,0.00350282,0.00358333,0.00367406,0.00423993,0.00439966,0.00441815
0.62317789,0.00349510,0.00350299,0.00361274,0.00371010,0.00424185,0.00439180,0.00443803
0.63059667,0.00344903,0.00348816,0.00359802,0.00369218,0.00420912,0.00438558,0.00442571
0.63801546,0.00349091,0.00350370,0.00363954,0.00373352,0.00425192,0.00438943,0.00443976
0.64543424,0.00341742,0.00348659,0.00362300,0.00371851,0.00421968,0.00436803,0.00441812
0.65285302,0.00348032,0.00349573,0.00366466,0.00375596,0.00422738,0.00438941,0.00443660
0.66027181,0.00346818,0.00350192,0.00366821,0.00376573,0.00422124,0.00438222,0.00443414
0.66769059,0.00345652,0.00348790,0.00367330,0.00377120,0.00424261,0.00439353,0.00442706
0.67510938,0.00344235,0.00349811,0.00369576,0.00378380,0.00421475,0.00437006,0.00441532
0.68252816,0.00334763,0.00349379,0.00369878,0.00379053,0.00425040,0.00437213,0.00442826
0.68994695,0.00341958,0.00347830,0.00369597,0.00378636,0.00423420,0.00437754,0.00441995
0.69736573,0.00330673,0.00347740,0.00373262,0.00382971,0.00423100,0.00438406,0.00442097
0.70478452,0.00336802,0.00351037,0.00375367,0.00385074,0.00424424,0.00436686,0.00441568
0.71220330,0.00339199,0.00347923,0.00373138,0.00382553,0.00421296,0.00435553,0.00440552
0.71962208,0.00337570,0.00348216,0.00375095,0.00383837,0.00423541,0.00435557,0.00439754
