# # q/A,10.0fs,20.0fs,30.0fs,40.0fs,50.0fs,60.0fs,70.0fs,80.0fs,90.0fs,100.0fs,110.0
# 
0.23740110,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.24481988,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.25223867,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.25965745,0.00232893,0.00257170,0.00203856,0.00210305,0.00205944,0.00206474,0.00198860,0.00220472,0.00236683,0.00257984,0.00258343
0.26707624,0.00197446,0.00209207,0.00201055,0.00210825,0.00204047,0.00202653,0.00203081,0.00213053,0.00234284,0.00251118,0.00256906
0.27449502,0.00198973,0.00191864,0.00204985,0.00197737,0.00196653,0.00193616,0.00193780,0.00207564,0.00229839,0.00248810,0.00255044
0.28191381,0.00194466,0.00196337,0.00199392,0.00203772,0.00191009,0.00191662,0.00190368,0.00200320,0.00227490,0.00248218,0.00255410
0.28933259,0.00183680,0.00177276,0.00196940,0.00194694,0.00191227,0.00189765,0.00188283,0.00195136,0.00221176,0.00243327,0.00251152
0.29675137,0.00180365,0.00174992,0.00197932,0.00189183,0.00189147,0.00186297,0.00187880,0.00200266,0.00223993,0.00245380,0.00250088
0.30417016,0.00186121,0.00191730,0.00189062,0.00195691,0.00185637,0.00184812,0.00184780,0.00197626,0.00225425,0.00242684,0.00248701
0.31158894,0.00192253,0.00187381,0.00193370,0.00184215,0.00181054,0.00179964,0.00182814,0.00199450,0.00226807,0.00245312,0.00252004
0.31900773,0.00183599,0.00180056,0.00192030,0.00194771,0.00183148,0.00182624,0.00187189,0.00204155,0.00233095,0.00252221,0.00258906
0.32642651,0.00178697,0.00183346,0.00189665,0.00188455,0.00183333,0.00183241,0.00185610,0.00204877,0.00233145,0.00255464,0.00258603
0.33384530,0.00180547,0.00177403,0.00191166,0.00191811,0.00183250,0.00183492,0.00186454,0.00203996,0.00236455,0.00257039,0.00261057
0.34126408,0.00181219,0.00181426,0.00185169,0.00190364,0.00181584,0.00182824,0.00185523,0.00205307,0.00238194,0.00261811,0.00264908
0.34868287,0.00177925,0.00176044,0.00184860,0.00189962,0.00185229,0.00184672,0.00188544,0.00209600,0.00240227,0.00262143,0.00266826
0.35610165,0.00177028,0.00169021,0.00180236,0.00187465,0.00182176,0.00184037,0.00189031,0.00211639,0.00241653,0.00262637,0.00267217
0.36352043,0.00179098,0.00174719,0.00181235,0.00185379,0.00183520,0.00183756,0.00188629,0.00211047,0.00244894,0.00266034,0.00268890
0.37093922,0.00180617,0.00174929,0.00183156,0.00183670,0.00182204,0.00183828,0.00189958,0.00214134,0.00247217,0.00267283,0.00271167
0.37835800,0.00178075,0.00176347,0.00180235,0.00184443,0.00182732,0.00181625,0.00189802,0.00214327,0.00248959,0.00270836,0.00275218
0.38577679,0.00172008,0.00171226,0.00179126,0.00176906,0.00176445,0.00181068,0.00187341,0.00216139,0.00250981,0.00272164,0.00276502
0.39319557,0.00177674,0.00175068,0.00176212,0.00183027,0.00182479,0.00185230,0.00191236,0.00219138,0.00252139,0.00274971,0.00277312
0.40061436,0.00175248,0.00170685,0.00174818,0.00181687,0.00179640,0.00183766,0.00192068,0.00221810,0.00256895,0.00278358,0.00282351
0.40803314,0.00175867,0.00174200,0.00179057,0.00181498,0.00180196,0.00184070,0.00192673,0.00222839,0.00258015,0.00278869,0.00282787
0.41545192,0.00178691,0.00174975,0.00176544,0.00179969,0.00180958,0.00184795,0.00192732,0.00223655,0.00261062,0.00282482,0.00287137
0.42287071,0.00172126,0.00169051,0.00176452,0.00178273,0.00180440,0.00184630,0.00194415,0.00226041,0.00263946,0.00285769,0.00290449
0.43028949,0.00169101,0.00169807,0.00173712,0.00182192,0.00181970,0.00187923,0.00196109,0.00229534,0.00265154,0.00286372,0.00290607
0.43770828,0.00174588,0.00176372,0.00174254,0.00179382,0.00181071,0.00186292,0.00194743,0.00228869,0.00266130,0.00287665,0.00290305
0.44512706,0.00174136,0.00171209,0.00176478,0.00179206,0.00182637,0.00187780,0.00198614,0.00233857,0.00270821,0.00292456,0.00297661
0.45254585,0.00174031,0.00170018,0.00174916,0.00178548,0.00181799,0.00188920,0.00199379,0.00234641,0.00272648,0.00293180,0.00299588
0.45996463,0.00175544,0.00173191,0.00182198,0.00180985,0.00183693,0.00189974,0.00201008,0.00238572,0.00275808,0.00298790,0.00303113
0.46738342,0.00169156,0.00164256,0.00175356,0.00180673,0.00183683,0.00190613,0.00202401,0.00239840,0.00277649,0.00298437,0.00302308
0.47480220,0.00173513,0.00168079,0.00178065,0.00182434,0.00184677,0.00192205,0.00202761,0.00243137,0.00279609,0.00300254,0.00306395
0.48222098,0.00172851,0.00172675,0.00176136,0.00179546,0.00183483,0.00192717,0.00205129,0.00245166,0.00283103,0.00303228,0.00309052
0.48963977,0.00171625,0.00166851,0.00175680,0.00178700,0.00185722,0.00193222,0.00207423,0.00247430,0.00285446,0.00305848,0.00310874
0.49705855,0.00168053,0.00167136,0.00169098,0.00180827,0.00185179,0.00194820,0.00208665,0.00250136,0.00287150,0.00306056,0.00311540
0.50447734,0.00174504,0.00173979,0.00176238,0.00178323,0.00186928,0.00195944,0.00210198,0.00253211,0.00290736,0.00309183,0.00314133
0.51189612,0.00172708,0.00169975,0.00177256,0.00179350,0.00187799,0.00197749,0.00211201,0.00254198,0.00292010,0.00310825,0.00317306
0.51931491,0.00173836,0.00168365,0.00173563,0.00180814,0.00187832,0.00199572,0.00213345,0.00257392,0.00294481,0.00313681,0.00321193
0.52673369,0.00169666,0.00167689,0.00177618,0.00182923,0.00188332,0.00200108,0.00215343,0.00259855,0.00297444,0.00315748,0.00321202
0.53415247,0.00168616,0.00167720,0.00174440,0.00178890,0.00188033,0.00201262,0.00216040,0.00261064,0.00299704,0.00316001,0.00323275
0.54157126,0.00168640,0.00167005,0.00177880,0.00183155,0.00189723,0.00202411,0.00218341,0.00264634,0.00302306,0.00319766,0.00325527
0.54899004,0.00173601,0.00169687,0.00168168,0.00179096,0.00190057,0.00203243,0.00220480,0.00268359,0.00304825,0.00321694,0.00327648
0.55640883,0.00166859,0.00160638,0.00173304,0.00179427,0.00190382,0.00204294,0.00221255,0.00270827,0.00306784,0.00322383,0.00328598
0.56382761,0.00164639,0.00164402,0.00174087,0.00183391,0.00191427,0.00206121,0.00222845,0.00271704,0.00308950,0.00324726,0.00330576
0.57124640,0.00171010,0.00167358,0.00171963,0.00181274,0.00192124,0.00207026,0.00225721,0.00273704,0.00310261,0.00324081,0.00331905
0.57866518,0.00168415,0.00164746,0.00170771,0.00181367,0.00193913,0.00209272,0.00227964,0.00277104,0.00311900,0.00325564,0.00332538
0.58608397,0.00172158,0.00167783,0.00175584,0.00183084,0.00193717,0.00209949,0.00229052,0.00278154,0.00313692,0.00326368,0.00334162
0.59350275,0.00166346,0.00163376,0.00173023,0.00181040,0.00194888,0.00212038,0.00230630,0.00280453,0.00315435,0.00328092,0.00336572
0.60092153,0.00169925,0.00169059,0.00174107,0.00181171,0.00196254,0.00213385,0.00232994,0.00283170,0.00317653,0.00329207,0.00338125
0.60834032,0.00168590,0.00166341,0.00171877,0.00183217,0.00197101,0.00214886,0.00234963,0.00286278,0.00320060,0.00330716,0.00339403
0.61575910,0.00165832,0.00164127,0.00169783,0.00181794,0.00196987,0.00214249,0.00234907,0.00286591,0.00321290,0.00332329,0.00339634
0.62317789,0.00169940,0.00165713,0.00175392,0.00183841,0.00198586,0.00217694,0.00238034,0.00289083,0.00321457,0.00332556,0.00339750
0.63059667,0.00168786,0.00166961,0.00178003,0.00185090,0.00199193,0.00219016,0.00239733,0.00290652,0.00323046,0.00332619,0.00340623
0.63801546,0.00167536,0.00164579,0.00175492,0.00184777,0.00201196,0.00220858,0.00241202,0.00292292,0.00325417,0.00334008,0.00342655
0.64543424,0.00170931,0.00168437,0.00174704,0.00184998,0.00201621,0.00220847,0.00241954,0.00294202,0.00325651,0.00334232,0.00342632
0.65285302,0.00169074,0.00169724,0.00174303,0.00186400,0.00202641,0.00223237,0.00244787,0.00295194,0.00326974,0.00335006,0.00344519
0.66027181,0.00169765,0.00167152,0.00176983,0.00187962,0.00203381,0.00223846,0.00246832,0.00298149,0.00328965,0.00337712,0.00344611
0.66769059,0.00169197,0.00166882,0.00176817,0.00189028,0.00204499,0.00226274,0.00249040,0.00301344,0.00331405,0.00336985,0.00345293
0.67510938,0.00169481,0.00168119,0.00174837,0.00187346,0.00206589,0.00228079,0.00250769,0.00302488,0.00331085,0.00335362,0.00344390
0.68252816,0.00168989,0.00165618,0.00174781,0.00187620,0.00206011,0.00230022,0.00252581,0.00305310,0.00333352,0.00338284,0.00346032
0.68994695,0.00169436,0.00165865,0.00170599,0.00187803,0.00208164,0.00229517,0.00253629,0.00305797,0.00334080,0.00338107,0.00345767
0.69736573,0.00169218,0.00168385,0.00176399,0.00190930,0.00207805,0.00231739,0.00255830,0.00309112,0.00335314,0.00337912,0.00346993
0.70478452,0.00172130,0.00166446,0.00172118,0.00189986,0.00208415,0.00233252,0.00257753,0.00310726,0.00336955,0.00337898,0.00347199
0.71220330,0.00171354,0.00166225,0.00178657,0.00189118,0.00211896,0.00235039,0.00258881,0.00310777,0.00335619,0.00337311,0.00347624
0.71962208,0.00169099,0.00165408,0.00176033,0.00192862,0.00211566,0.00236477,0.00260924,0.00313142,0.00338490,0.00338087,0.00346761
0.72704087,0.00171223,0.00168651,0.00179266,0.00191399,0.00212945,0.00236923,0.00261277,0.00314349,0.00337659,0.00338376,0.00346037
0.73445965,0.00169241,0.00164795,0.00180519,0.00192066,0.00213369,0.00238364,0.00263485,0.00316570,0.00338527,0.00338081,0.00346573
0.74187844,0.00171535,0.00171469,0.00176359,0.00191838,0.00215384,0.00241481,0.00265569,0.00318042,0.00340678,0.00338925,0.00346855
0.74929722,0.00168348,0.00166246,0.00175857,0.00196013,0.00214975,0.00241738,0.00266536,0.00318753,0.00340391,0.00337956,0.00346294
0.75671601,0.00171004,0.00172007,0.00177681,0.00194788,0.00217091,0.00243100,0.00267617,0.00319304,0.00339967,0.00337245,0.00346615
0.76413479,0.00172160,0.00169821,0.00180209,0.00193898,0.00216747,0.00243347,0.00268869,0.00320601,0.00340495,0.00338121,0.00345709
0.77155357,0.00171405,0.00171482,0.00178281,0.00195419,0.00219640,0.00245566,0.00271266,0.00323259,0.00342639,0.00338895,0.00346822
0.77897236,0.00170584,0.00169227,0.00180795,0.00196560,0.00220346,0.00248392,0.00274154,0.00324619,0.00343421,0.00337666,0.00345425
0.78639114,0.00173265,0.00170438,0.00176868,0.00197764,0.00220255,0.00248231,0.00274588,0.00326134,0.00343461,0.00336312,0.00345395
0.79380993,0.00172754,0.00169525,0.00178642,0.00197273,0.00222141,0.00251457,0.00277267,0.00327073,0.00344283,0.00337279,0.00344666
0.80122871,0.00171696,0.00170706,0.00179585,0.00197678,0.00223035,0.00251934,0.00277656,0.00327641,0.00344983,0.00337544,0.00344939
0.80864750,0.00173058,0.00171229,0.00184488,0.00200973,0.00223908,0.00253351,0.00278762,0.00328153,0.00345160,0.00337982,0.00346315
0.81606628,0.00172227,0.00170805,0.00181019,0.00194379,0.00224357,0.00253350,0.00279004,0.00328478,0.00344912,0.00337898,0.00345031
0.82348507,0.00173518,0.00167900,0.00179108,0.00203997,0.00227549,0.00256476,0.00282695,0.00330500,0.00345634,0.00337368,0.00346031
0.83090385,0.00175622,0.00173526,0.00187877,0.00201784,0.00229154,0.00258198,0.00284346,0.00331938,0.00346184,0.00336407,0.00345570
0.83832263,0.00174059,0.00173369,0.00182394,0.00202024,0.00227840,0.00257633,0.00284157,0.00332317,0.00345925,0.00336464,0.00343433
0.84574142,0.00176345,0.00177253,0.00186182,0.00201158,0.00229527,0.00260838,0.00286738,0.00333666,0.00347018,0.00335990,0.00343098
0.85316020,0.00176567,0.00173761,0.00182807,0.00200619,0.00230157,0.00260415,0.00287258,0.00334164,0.00345885,0.00334712,0.00341238
0.86057899,0.00176377,0.00172878,0.00184459,0.00205470,0.00232195,0.00261847,0.00287805,0.00334785,0.00345506,0.00335297,0.00341434
0.86799777,0.00175219,0.00171996,0.00185807,0.00206241,0.00233605,0.00263675,0.00290561,0.00335392,0.00346152,0.00334849,0.00342703
0.87541656,0.00176211,0.00176144,0.00183513,0.00205862,0.00233108,0.00263460,0.00289857,0.00337069,0.00346899,0.00333695,0.00340525
0.88283534,0.00175478,0.00172310,0.00186642,0.00210437,0.00235547,0.00267142,0.00292240,0.00337075,0.00346969,0.00334592,0.00341488
0.89025412,0.00177366,0.00173693,0.00185312,0.00208579,0.00235520,0.00266602,0.00293117,0.00337477,0.00345544,0.00332487,0.00339657
0.89767291,0.00177086,0.00176071,0.00186304,0.00210220,0.00237233,0.00267877,0.00293895,0.00338640,0.00345958,0.00332709,0.00339559
0.90509169,0.00178003,0.00177584,0.00187550,0.00208929,0.00237365,0.00268833,0.00295182,0.00338643,0.00346835,0.00332570,0.00338247
0.91251048,0.00177500,0.00177996,0.00191605,0.00211569,0.00239202,0.00269679,0.00296253,0.00339393,0.00346191,0.00332954,0.00338161
0.91992926,0.00177638,0.00174418,0.00189642,0.00211341,0.00239476,0.00270216,0.00297169,0.00340983,0.00346821,0.00331762,0.00338426
0.92734805,0.00178827,0.00175551,0.00187370,0.00211877,0.00241227,0.00273825,0.00299160,0.00340643,0.00346543,0.00330726,0.00337437
0.93476683,0.00180991,0.00178174,0.00192533,0.00212648,0.00241189,0.00272635,0.00298367,0.00340516,0.00346061,0.00329698,0.00336320
0.94218562,0.00180475,0.00178483,0.00190690,0.00213723,0.00243786,0.00275374,0.00300600,0.00341554,0.00346252,0.00329975,0.00336272
0.94960440,0.00180384,0.00178842,0.00190114,0.00216697,0.00243351,0.00275512,0.00301018,0.00341170,0.00345456,0.00328771,0.00335174
0.95702318,0.00185676,0.00183166,0.00193644,0.00214282,0.00244340,0.00276719,0.00301962,0.00341909,0.00344780,0.00328635,0.00334634
0.96444197,0.00181320,0.00178038,0.00192842,0.00216465,0.00245860,0.00277977,0.00302829,0.00341341,0.00345467,0.00328279,0.00333886
0.97186075,0.00186505,0.00181978,0.00193614,0.00217797,0.00246842,0.00279322,0.00303846,0.00341918,0.00344356,0.00327229,0.00332657
0.97927954,0.00183434,0.00180070,0.00195939,0.00219375,0.00247397,0.00280048,0.00304426,0.00343180,0.00344417,0.00326244,0.00332512
0.98669832,0.00186615,0.00184165,0.00195626,0.00220440,0.00247869,0.00280201,0.00305427,0.00343548,0.00345032,0.00326532,0.00332582
0.99411711,0.00184759,0.00181887,0.00197258,0.00222314,0.00249492,0.00281684,0.00306696,0.00343192,0.00343817,0.00327078,0.00332239
1.00153589,0.00186184,0.00184747,0.00195854,0.00220338,0.00250129,0.00282342,0.00306949,0.00342513,0.00343486,0.00325362,0.00330945
1.00895467,0.00189009,0.00185280,0.00197304,0.00219570,0.00251238,0.00283386,0.00307509,0.00341855,0.00343150,0.00324506,0.00329287
1.01637346,0.00190644,0.00189464,0.00198811,0.00221143,0.00252769,0.00284454,0.00308126,0.00341844,0.00342529,0.00324396,0.00329111
1.02379224,0.00188631,0.00188101,0.00201551,0.00223614,0.00253533,0.00285111,0.00309139,0.00343231,0.00342235,0.00324038,0.00329620
1.03121103,0.00188711,0.00186143,0.00203719,0.00225545,0.00254659,0.00287212,0.00310203,0.00342755,0.00341663,0.00323691,0.00328456
1.03862981,0.00190893,0.00186690,0.00201727,0.00225738,0.00255785,0.00288054,0.00310472,0.00343246,0.00342008,0.00323231,0.00328302
1.04604860,0.00189302,0.00188370,0.00201871,0.00226880,0.00257385,0.00289287,0.00311083,0.00343078,0.00341604,0.00322369,0.00326784
1.05346738,0.00192172,0.00190214,0.00202569,0.00226880,0.00257841,0.00290130,0.00312880,0.00343222,0.00341764,0.00322605,0.00327524
1.06088616,0.00193121,0.00187144,0.00204485,0.00226342,0.00258938,0.00289857,0.00313081,0.00342775,0.00340336,0.00320788,0.00325066
1.06830495,0.00195743,0.00192507,0.00204306,0.00227916,0.00260122,0.00291764,0.00313422,0.00344040,0.00341196,0.00321795,0.00326477
1.07572373,0.00195725,0.00194940,0.00204163,0.00229926,0.00260486,0.00292862,0.00314551,0.00344238,0.00341044,0.00321318,0.00325498
1.08314252,0.00195578,0.00192051,0.00206169,0.00230012,0.00260965,0.00293153,0.00315262,0.00343795,0.00340099,0.00321630,0.00325400
1.09056130,0.00196820,0.00196002,0.00205945,0.00231774,0.00262403,0.00294034,0.00315636,0.00343386,0.00339686,0.00320495,0.00323955
1.09798009,0.00199948,0.00199010,0.00209668,0.00234741,0.00263662,0.00295188,0.00316224,0.00343251,0.00339985,0.00320166,0.00324203
1.10539887,0.00201160,0.00197230,0.00209003,0.00234531,0.00264000,0.00295285,0.00316134,0.00342422,0.00338043,0.00319351,0.00323045
1.11281766,0.00199222,0.00196054,0.00211110,0.00236865,0.00265437,0.00296821,0.00316691,0.00342958,0.00338192,0.00319649,0.00323392
1.12023644,0.00202672,0.00197146,0.00210896,0.00235838,0.00266227,0.00297551,0.00318118,0.00343600,0.00338684,0.00319564,0.00322490
1.12765522,0.00202730,0.00194245,0.00212770,0.00237829,0.00266407,0.00297751,0.00317769,0.00342785,0.00337198,0.00318018,0.00321965
1.13507401,0.00203704,0.00199321,0.00211553,0.00239359,0.00268050,0.00299137,0.00319175,0.00342772,0.00338435,0.00319597,0.00322277
1.14249279,0.00202513,0.00200589,0.00215452,0.00238778,0.00269037,0.00299249,0.00318683,0.00341677,0.00336745,0.00318541,0.00320991
1.14991158,0.00205504,0.00203341,0.00214027,0.00241662,0.00270046,0.00300327,0.00320186,0.00342585,0.00336893,0.00318305,0.00321615
1.15733036,0.00206644,0.00204221,0.00220823,0.00242191,0.00271186,0.00302166,0.00320889,0.00342682,0.00336886,0.00317457,0.00320876
1.16474915,0.00209186,0.00204735,0.00218022,0.00244058,0.00272552,0.00301953,0.00321100,0.00342083,0.00337140,0.00318630,0.00320515
1.17216793,0.00209284,0.00202996,0.00217357,0.00242796,0.00273198,0.00303262,0.00321386,0.00342493,0.00336283,0.00317862,0.00320243
1.17958671,0.00209743,0.00209710,0.00217974,0.00243770,0.00273922,0.00303297,0.00320649,0.00340691,0.00335372,0.00316809,0.00319456
1.18700550,0.00212663,0.00209414,0.00221506,0.00245038,0.00275519,0.00304525,0.00321913,0.00341665,0.00336254,0.00317553,0.00320760
1.19442428,0.00211435,0.00210006,0.00223675,0.00247329,0.00276624,0.00305309,0.00322822,0.00341154,0.00334938,0.00315606,0.00318918
1.20184307,0.00215181,0.00209854,0.00224065,0.00248297,0.00276637,0.00305405,0.00322597,0.00341193,0.00335003,0.00317095,0.00319500
1.20926185,0.00216877,0.00214708,0.00222328,0.00250084,0.00278665,0.00306827,0.00323585,0.00340571,0.00335032,0.00317141,0.00318392
1.21668064,0.00216762,0.00213117,0.00227994,0.00250086,0.00278393,0.00307127,0.00324051,0.00341472,0.00334436,0.00315744,0.00318379
1.22409942,0.00218356,0.00213475,0.00227936,0.00250790,0.00279781,0.00307641,0.00323670,0.00340421,0.00333906,0.00315837,0.00318548
1.23151821,0.00219293,0.00218006,0.00230008,0.00252921,0.00281643,0.00309351,0.00325021,0.00340107,0.00334218,0.00316812,0.00319304
1.23893699,0.00221067,0.00217205,0.00228765,0.00253089,0.00282378,0.00310298,0.00325586,0.00340270,0.00333692,0.00316063,0.00318398
1.24635577,0.00225869,0.00220588,0.00234303,0.00258652,0.00284797,0.00311535,0.00326892,0.00341654,0.00334569,0.00318093,0.00319666
1.25377456,0.00224899,0.00221743,0.00237631,0.00259350,0.00286206,0.00313619,0.00328444,0.00342865,0.00335303,0.00318337,0.00319694
1.26119334,0.00226491,0.00222067,0.00236890,0.00259263,0.00288139,0.00314479,0.00328504,0.00341576,0.00334672,0.00318288,0.00319705
1.26861213,0.00230417,0.00228318,0.00238751,0.00260850,0.00287972,0.00314054,0.00328208,0.00341023,0.00334360,0.00317569,0.00319624
1.27603091,0.00230883,0.00230215,0.00237019,0.00261842,0.00289687,0.00315717,0.00329326,0.00341433,0.00334574,0.00318073,0.00319185
1.28344970,0.00233966,0.00231667,0.00240987,0.00263786,0.00291428,0.00316857,0.00330950,0.00342122,0.00334429,0.00318169,0.00319155
1.29086848,0.00234330,0.00230616,0.00243720,0.00265323,0.00292401,0.00318088,0.00331410,0.00342305,0.00334386,0.00317647,0.00320113
1.29828726,0.00235981,0.00235765,0.00244458,0.00268282,0.00294216,0.00319153,0.00332221,0.00344167,0.00336201,0.00320543,0.00321528
1.30570605,0.00240363,0.00236866,0.00249348,0.00267563,0.00296272,0.00321337,0.00333975,0.00343615,0.00336150,0.00320882,0.00320948
1.31312483,0.00240889,0.00237899,0.00250015,0.00270238,0.00298032,0.00322931,0.00334654,0.00343368,0.00335829,0.00320500,0.00321310
1.32054362,0.00243068,0.00239036,0.00253802,0.00274002,0.00300133,0.00325157,0.00336953,0.00344501,0.00336765,0.00320803,0.00322858
1.32796240,0.00245584,0.00242234,0.00254340,0.00273002,0.00300603,0.00324791,0.00335911,0.00344619,0.00336455,0.00321215,0.00322557
1.33538119,0.00247820,0.00245035,0.00255225,0.00276327,0.00301429,0.00324244,0.00335163,0.00342839,0.00335679,0.00320319,0.00321554
1.34279997,0.00249296,0.00246659,0.00255373,0.00277953,0.00303226,0.00326185,0.00336925,0.00343532,0.00335190,0.00321110,0.00322072
1.35021876,0.00248930,0.00245839,0.00257256,0.00278437,0.00303757,0.00326522,0.00336843,0.00342463,0.00334645,0.00320571,0.00321028
1.35763754,0.00255087,0.00252672,0.00263368,0.00284147,0.00306338,0.00328645,0.00338283,0.00343461,0.00336417,0.00322740,0.00321833
1.36505632,0.00259859,0.00256477,0.00263917,0.00285782,0.00309600,0.00331607,0.00341182,0.00345901,0.00337446,0.00322598,0.00323775
1.37247511,0.00257615,0.00255092,0.00266888,0.00289202,0.00312015,0.00332939,0.00341130,0.00345587,0.00337232,0.00323986,0.00323597
1.37989389,0.00263133,0.00259425,0.00270049,0.00290272,0.00312623,0.00334336,0.00342523,0.00343918,0.00336554,0.00322433,0.00322681
1.38731268,0.00261280,0.00264169,0.00272173,0.00289169,0.00312844,0.00333573,0.00341519,0.00343805,0.00335566,0.00322273,0.00322463
1.39473146,0.00267563,0.00266175,0.00272714,0.00294735,0.00315808,0.00335900,0.00343458,0.00345128,0.00337198,0.00323772,0.00323399
1.40215025,0.00271578,0.00268106,0.00275227,0.00292883,0.00316609,0.00334713,0.00342611,0.00343323,0.00335559,0.00320775,0.00322200
1.40956903,0.00273400,0.00270479,0.00280551,0.00296951,0.00317965,0.00336442,0.00343473,0.00344236,0.00336928,0.00325262,0.00324822
