#t[fs] ne[m^-3] Te[eV] Ti[eV]
-30.0 0.0 0.0 0.0
-25.0 0.0 0.0 0.0
-20.0 0.0 0.0 0.0
-14.999999999999998 0.0 0.0 0.0
-10.0 1.8300376602486924e26 221.89434394609847 0.0003193649951749342
-4.9999999999999964 2.1767816379800238e27 133.4466418048996 0.0037951090490893785
3.552713678800501e-15 1.0296369783188697e28 78.4290539393675 0.022319126481036934
4.9999999999999964 2.653554607360604e28 47.34270391254996 0.06987684324154644
10.0 5.009487300501816e28 33.285059681459366 0.14807741968597424
15.0 7.463664120666905e28 22.650455806352344 0.2548716957819519
20.000000000000004 9.185825876732516e28 18.611139241900887 0.36105347201210014
25.0 1.0084470685686216e29 16.526155485809646 0.4711554206128045
30.000000000000004 1.0549685522475752e29 15.5243207186859 0.5910136040820345
34.99999999999999 1.083478612638818e29 15.015634037757884 0.7154338670767241
39.99999999999999 1.1064022422777227e29 14.456933976341622 0.8295527098517184
45.0 1.1252805255097618e29 14.186102435787447 0.9411855304537984
49.99999999999999 1.141654546680408e29 13.780939706136714 1.039309951472181
55.0 1.1561985301908055e29 13.555663950972765 1.143516902546782
60.00000000000001 1.1690087938125464e29 13.409780850348035 1.2587921605934078
65.0 1.1767142155399093e29 13.298900445633645 1.3717387122314022
70.0 1.1870202171002571e29 13.093973453238489 1.4806996786646762
75.0 1.1953035454571723e29 12.99188187966865 1.6259591273242875
80.0 1.2033942382709033e29 12.865220480455811 1.7494937290039947
85.00000000000001 1.2090769867948335e29 12.865152579035145 1.8665495045175762
90.0 1.2156265952630921e29 12.734634135720414 1.9472536560202531
95.00000000000001 1.2198645772131416e29 12.979783612028472 2.0699090782979312
99.99999999999999 1.2243915124779673e29 13.217206272976288 2.185262010153855
105.0 1.2315190275757781e29 16.939066427383967 2.3072179846631737
109.99999999999999 1.2414397580497578e29 22.084134819652576 2.4351083544064585
115.0 1.2609922656829412e29 29.556802646014003 2.5921054974834385
120.0 1.284012213093438e29 30.150320054668168 2.774167347505665
125.0 1.3060689827880143e29 29.505907076979486 2.946175047974156
130.0 1.3326526877474163e29 28.666064936836506 3.1143548159682264
135.0 1.3554799996147289e29 27.85437690264874 3.294424461630091
140.0 1.376573591593385e29 27.174830797870897 3.500584871406469
