#t[fs] ne[m^-3] Te[eV] Ti[eV]
-30.0 0.0 0.0 0.0
-25.0 0.0 0.0 0.0
-20.0 0.0 0.0 0.0
-14.999999999999998 2.98585091935313e26 712.4348075024911 0.0012265979749062036
-10.0 6.684453348487329e27 157.17965503228893 0.014506726681465439
-4.9999999999999964 3.835373664794891e28 113.28757402771822 0.0921896241600573
3.552713678800501e-15 9.631777159203645e28 114.83351073695243 0.31613870165380054
4.9999999999999964 1.2743804359342342e29 131.74338861634197 0.5967572209407239
10.0 1.4678828390626355e29 139.23637850160137 1.045369024523034
15.0 1.6065804301551678e29 131.95715858383068 1.5795466817208659
20.000000000000004 1.720139082862179e29 123.23043035128353 2.1174215318329
25.0 1.816167901139439e29 115.82475084064289 2.6779813619949193
30.000000000000004 1.8964969226471978e29 109.87412765399843 3.335204287750262
34.99999999999999 1.9649788582491357e29 105.07348613407649 3.981542580851734
39.99999999999999 2.0257553721237104e29 101.30830883068069 4.6242356300445895
45.0 2.077381697697042e29 97.81228915459427 5.293322375323367
49.99999999999999 2.1181241150804736e29 95.34462232242076 5.901785264954643
55.0 2.1550138216002234e29 92.95876925539724 6.510735164538322
60.00000000000001 2.183138610905098e29 91.12208730729166 7.369566051654984
65.0 2.2108781291236045e29 89.56800747755233 7.905630099784881
70.0 2.2362097030523102e29 88.17662759995505 8.343121961581415
75.0 2.2576885661173342e29 86.86561177740266 8.649027757196638
80.0 2.275796307176637e29 85.79483683268506 9.1164008992314
85.00000000000001 2.2928445527484275e29 84.84194070146962 9.3294131021341
90.0 2.3058474519133524e29 84.20266831686186 9.5202391185875
95.00000000000001 2.3186577155350935e29 83.97839580049508 9.909035919178297
99.99999999999999 2.3328164279591228e29 88.25146899892073 10.421578416015159
105.0 2.3504425801604655e29 98.44513700039391 10.296526159972231
109.99999999999999 2.37336620979937e29 118.44302939781727 10.308237133791119
115.0 2.3979272415553395e29 138.8057256193496 11.083831356348902
120.0 2.4169981603305627e29 148.9594178107148 11.503956305393082
125.0 2.4329869104148408e29 152.12404001728152 11.554981415121162
130.0 2.443967136376333e29 151.66954599591747 11.956653675140567
135.0 2.4545620912514567e29 150.1911861710362 12.607695049894238
140.0 2.465831270527725e29 149.19080312697258 12.756995080238708
